title,slug,owner_id,description,is_done,deadline,priority,category_id
Завершить проект,finish-project,1,"Доделать все задачи по проекту",True,,HG,1
Купить продукты,buy-groceries,2,"Молоко, хлеб, яйца, фрукты",False,2025-05-20,LW,3
Подготовиться к экзамену,prepare-for-exam,3,"Повторить главы 5-8, решить тесты",False,2025-06-05,MD,2
Записаться к врачу,doctor-appointment,4,"Терапевт, 10:00-12:00",True,2025-05-25,LW,4
Оплатить счета,pay-bills,5,"Коммунальные, интернет, телефон",True,,MD,5
Прочитать книгу,read-book,6,"'Clean Code' - главы 1-3",False,,LW,6
Тренировка,gym-session,7,"Силовая - 1 час",True,2025-05-28,MD,7
Спланировать отпуск,plan-vacation,8,"Билеты, отель, маршрут",False,,HG,8
Встреча с друзьями,friends-meeting,9,"Кафе в 19:00",True,2025-05-27,LW,9
Купить подарок,buy-gift,10,"На день рождения мамы",False,2025-06-08,MD,10
Изучить Django,django-learn,1,"Разобраться с моделями и формами",True,2025-05-15,MD,11
Создать дизайн логотипа,design-logo,2,"Для нового проекта",False,,HG,12
Записать новый трек,record-song,3,"Демо-версия для студии",True,2025-05-15,MD,13
Приготовить ужин,cook-dinner,4,"Попробовать новый рецепт",False,,LW,14
Пройти курс по Python,python-course,5,"Закончить 5 модуль",False,2025-05-30,MD,15
Поменять масло в авто,change-oil,6,"Записаться в сервис",True,2025-06-15,LW,16
Сходить в зоопарк,zoo-trip,7,"С детьми в выходные",False,,LW,17
Починить кран,fix-faucet,8,"В ванной комнате",True,2025-05-31,MD,18
Посадить цветы,plant-flowers,9,"На балконе",False,,LW,19
Оптимизировать код,optimize-code,10,"Рефакторинг модуля API",False,2025-06-25,HG,11
Написать тесты,write-tests,1,"Покрытие 80% кода",True,,MD,11
Обновить портфолио,update-portfolio,2,"Добавить последние работы",False,2025-05-29,MD,12
Купить новые струны,guitar-strings,3,"Для акустической гитары",True,,LW,13
Планирование недели,weekly-plan,4,"Цели и приоритеты",False,2025-05-03,MD,14
Изучить pandas,pandas-learn,5,"Анализ данных",True,2025-06-15,MD,15
Проверить шины,check-tires,6,"Давление и протектор",False,,LW,16
Купить корм,pet-food,7,"Для кота и собаки",True,2025-05-15,LW,17
Установить полку,install-shelf,8,"В гостиной",False,2025-05-20,MD,18
Подготовить грядки,garden-beds,9,"К весеннему сезону",True,,LW,19
Изучить React,react-learn,10,"Новые хуки",False,2025-06-30,MD,11